society,glottocode,HRAF_name_ID
!Kung,juho1239,San (FX10)
Nama,nama1265,Khoi (FX13)
Mbuti,bila1255,Mbuti (FO04)
Hadza,hadz1240,NA
Lozi,lozi1239,Lozi (FQ09)
Tsonga,tson1249,Tsonga (FT06)
Mbundu,umbu1257,Mbundu (FP13)
Suku,suku1259,NA
Bemba,town1238,Bemba (FQ05)
Luguru,lugu1238,NA
Kikuyu,kiku1240,Gikuyu (FL10)
Nyakyusa,nyak1261,Nyakyusa and Ngonde (FN17)
Ganda,gand1255,Ganda (FK07)
Nkundo,nkun1238,Mongo (FO32)
Banen,tune1261,NA
Fon,fonn1241,NA
Igbo,nucl1417,Igbo (FF26)
Ashanti,asan1239,Twi (FE12)
Mende,mend1266,Mende (FC07)
Bambara,bamb1269,Bambara (FA08)
Tallensi,taln1239,Tallensi (FE11)
Tiv,tivv1240,Tiv (FF57)
Otoro,otor1240,NA
Azande,zand1248,Azande (FO07)
Mao,hozo1236,NA
Shilluk,shil1265,Shilluk (FJ23)
Masa,masa1322,NA
Maasi,masa1300,Masai (FL12)
Konso,kons1243,NA
Somali,nort3051,Somali (MO04)
Kafa,kafa1242,Kaffa (MP14)
Blin,bili1260,NA
Amhara,amha1245,Amhara (MP05)
Fur,furr1244,NA
Wolof,nucl1347,Wolof (MS30)
Wodaabe Fulani,boro1274,NA
Zazzagawa Hausa,araw1280,Hausa (MS12)
Songhai,koyr1242,NA
Teda,teda1241,Teda (MS22)
Tuareg Ahaggar,hogg1238,Tuareg (MS25)
Barabra,kenu1236,NA
Egyptians,egyp1253,Fellahin (MR13)
Riffians,tari1263,Berbers of Morocco (MX03)
Gheg,gheg1238,Albanians (EG01)
Ancient Romans,lati1261,Imperial Romans (EI09)
Spanish Basques,west1508,Basques (EX08)
Irish,iris1253,Rural Irish (ER06)
Sami,nort2671,Lapps (EP04)
Russians,russ1263,NA
Armenians,nucl1235,NA
Kurd,cent1972,Kurd (MA11)
Abkhaz,abkh1244,Abkhaz (RI03)
Turks,nucl1301,Turks (MB01)
Rwala,east2690,Rwala (MD04)
Hebrews,anci1244,NA
Babylonians,akka1240,NA
Punjabi,west2386,NA
Basseri,bass1257,Basseri (MA10)
Kazakh,kaza1248,Kazakh (RQ02)
Khalka,halh1238,Mongolia (AH01)
Nivkh,gily1242,Nivkh (RX02)
Chukchi,chuk1273,Chukchee (RY02)
Yurak-Samoyeds,nene1249,Samoyed and/or Nenets (RU04/RU41)
Yukaghir,nort2745,NA
Ainu,ainu1240,Ainu (AB06)
Koreans,kore1280,Korea (AA01)
Chekiang,wuch1236,NA
Lolo,sich1238,Yi (AE04)
Manchu,manc1252,Manchu (AG01)
Japanese,nucl1643,Okayama (AB43)
Burusho,buru1296,Burusho (AV07)
Lepcha,lepc1244,Lepcha (AK05)
Santal,sant1410,Santal (AW42)
Uttar Pradesh,bhoj1244,Uttar (AW19)
Madia,mari1414,Gond (AW32)
Toda,toda1252,Toda (AW60)
Andamanese,akab1249,Andamans (AZ02)
Tanala,tana1285,Tanala (FY08)
Vedda,vedd1240,Vedda (AX05)
Nicobarese,carn1240,NA
Garo,garo1247,Garo (AR05)
Burmese,nucl1310,Burmans (AP04)
Maras,mara1382,NA
Lamet,lame1256,NA
Rade,rade1240,NA
Ancient Khmer,oldk1249,NA
Negri Sembilan,nege1240,NA
Semang,kens1248,Semang (AN07)
Annamese,viet1252,Vietnam (AM11)
Thai,thai1261,NA
Atayal,atay1247,NA
Badjau Tawi-Tawi,sout2918,NA
