var_id,var_category,var_title,var_definition,var_type,var_units,var_source,var_changes,var_notes
EA001,"Subsistence, Economy",Subsistence economy: gathering,"Dependence on the gathering of wild plants and small land fauna, relative to other subsistence activities.",Ordinal,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA002,"Subsistence, Economy",Subsistence economy: hunting,"Dependence on hunting, including trapping and fowling, relative to other subsistence activities.",Ordinal,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA003,"Subsistence, Economy",Subsistence economy: fishing,"Dependence on fishing, including shellfishing and the pursuit of large aquatic animals, relative to other subsistence activities.",Ordinal,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA004,"Subsistence, Economy",Subsistence economy: animal husbandry,"Dependence on animal husbandry, relative to other subsistence activities.",Ordinal,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA005,"Subsistence, Economy",Subsistence economy: agriculture,"Dependence on agriculture, relative to other subsistence activities.",Ordinal,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA006,"Marriage, Kinship, Wealth Transactions, Economy",Transactions at marriage: prevailing type,Prevailing type of transfer or exchange at marriage.,Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA007,"Marriage, Kinship, Wealth Transactions, Economy",Transactions at marriage: alternate type,"Alternative types of transfer or exchange at marriage, or supplementary practices.",Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA008,"Marriage, Kinship",Domestic organization,The prevailing form of domestic or familial organization.,Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA009,"Marriage, Kinship",Marital composition: monogamy and polygamy,"Marital composition of family units, regardless of whether families live as independent nuclear units or as part of larger extended families.",Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA010,"Marriage, Kinship",Marital residence with kin: first years,"Pattern of marital residence in the first years or so of marriage. The variable ""Marital residence with kin: change after first years"" indicates whether or not this differs from the pattern of marital residence in later years.",Categorical,NA,Murdock (1962-1971); Gray (1999),"Recoded to be a ""stand alone"" variable. Now, societies for which code was ""not different than later years"" have this information spelled out, using detailed codes of Gray's v12, which describes the pattern of marital residence in later years. Note also that two codes were added for ""Uv"" and ""Vu"" based on Murdock's note under the Ambilocal code. Specifically: ""The symbols Uv or Vu are used to denote, respectively, a marked preponderance of uxorilocal or virilocal practice [in ambilocal residence]. That is, cases of ambilocal residence where the actual frequency of uxorilocal vs. virilocal residence exceeds the other by a ratio greater than two to one.","Codes for ""first years"" in Murdock do not include options for Matrilocal/Patrilocal; it is not clear if these are contained in Uxorilocal/Virilocal. In the case of the ""Marital residence (prevailing pattern)"" variable Matrilocal/Patrilocal are distinguished by Uxorilocal/Virilocal (with the latter being ""confined to instances where the wife's [husband's] matrikin [patrikin] are not aggregated in matrilocal and matrilineal [patrilocal and matrilineal] kin groups"". If comparing with v10 with v12, users may wish to look into this further and/or group Matri/Uxori and Patri/Viri in v12."
EA201,"Marriage, Kinship",Marital residence with kin: change after first years,Indicates whether or not the pattern of marital residence differs in the first years of marriage relative to later years.,Categorical,NA,Murdock (1962-1971); Gray (1999),"Added because of the recoding of v10, to allow users to quickly identify societies where marital residence in early years differs from that in later years.",NA
